datetime,open,high,low,volume,SMA_12,SMA_26,RSI,close
12/25/2023 3:25,42824.7,42910.98,42824.7,61.34808,42920.25917,42971.79154,32.72835934,42910.98
12/25/2023 3:26,42910.97,42916,42882.12,30.0822,42910.87917,42968.93,33.10847361,42901.96
12/25/2023 3:27,42901.95,42917.98,42886.53,25.05644,42905.02583,42967.24231,35.71756215,42914.71
12/25/2023 3:28,42914.71,42914.71,42836.64,76.80031,42899.86167,42963.90923,33.84634251,42909.14
12/25/2023 3:29,42909.14,42926,42909.14,17.61321,42897.38583,42960.55692,38.99954137,42917.79
12/25/2023 3:30,42917.8,42931.1,42884,22.93629,42894.19833,42954.94846,37.31623985,42890.18
12/25/2023 3:31,42890.17,42903.3,42851.18,12.62985,42887.11333,42948.36423,35.60001196,42851.19
12/25/2023 3:32,42851.19,42871.47,42843.93,27.17626,42881.28083,42943.62923,37.37481556,42848
12/25/2023 3:33,42847.99,42862,42847.99,14.86614,42877.1875,42936.23615,38.57239638,42861.99
12/25/2023 3:34,42861.99,42863.91,42843.93,25.19706,42875.06167,42927.12538,39.20255383,42848.99
12/25/2023 3:35,42848.99,42851.1,42811.1,27.23991,42877.56,42919.21308,40.46514583,42851.09
12/25/2023 3:36,42851.09,42859.32,42842.62,12.17224,42879.05417,42912.22423,44.43979204,42842.63
12/25/2023 3:37,42842.63,42867.99,42842.62,13.51739,42875.22833,42906.23462,58.59802848,42865.07
12/25/2023 3:38,42865.07,42888,42865.06,14.29311,42873.56333,42901.38269,60.64842356,42881.98
12/25/2023 3:39,42881.98,42881.99,42850.34,12.81404,42868.19917,42895.31423,35.8529302,42850.34
12/25/2023 3:40,42850.35,42850.35,42791.83,34.94573,42859.10417,42887.06346,30.05789391,42800
12/25/2023 3:41,42799.99,42800,42720.43,54.81648,42845.91417,42878.39269,22.61627497,42759.51
12/25/2023 3:42,42759.52,42785.14,42743.8,44.62847,42837.16,42871.23962,29.56530336,42785.13
12/25/2023 3:43,42785.13,42785.14,42735.48,35.52984,42828.265,42863.43,24.16383473,42744.45
12/25/2023 3:44,42744.45,42766,42739,45.20901,42820.59833,42856.79808,28.99499061,42756
12/25/2023 3:45,42756,42784.08,42755.61,26.21279,42812.98083,42850.42769,36.33682498,42770.58
12/25/2023 3:46,42770.57,42817.07,42770.57,16.80955,42810.32083,42846.54615,45.42847852,42817.07
12/25/2023 3:47,42817.06,42836,42801.1,19.02314,42809.0625,42843.65692,46.21234194,42835.99
12/25/2023 3:48,42835.99,42846,42830,19.32413,42808.935,42842.37231,48.82354695,42841.1
12/25/2023 3:49,42841.1,42845.31,42811.82,16.91172,42804.49833,42842.01538,44.58482759,42811.83
12/25/2023 3:50,42811.82,42811.92,42776,19.61554,42795.6675,42840.14269,41.45590725,42776.01
12/25/2023 3:51,42776,42850.57,42776,21.54474,42795.68583,42837.81885,48.35848587,42850.56
12/25/2023 3:52,42850.56,42891.22,42844.26,16.35405,42803.28667,42837.40538,50.99096004,42891.21
12/25/2023 3:53,42891.22,42891.22,42876.01,13.49483,42812.995,42835.91692,52.85685668,42876.01
12/25/2023 3:54,42876.01,42883.54,42844.27,23.53693,42819.0675,42833.95,56.95543723,42858
12/25/2023 3:55,42858,42858,42828,19.59185,42827.365,42831.11269,60.82268268,42844.02
12/25/2023 3:56,42844.01,42844.02,42812.18,18.1736,42834.7,42829.33731,58.0713248,42844.02
12/25/2023 3:57,42844.02,42906.04,42844.01,27.52923,42845.955,42831.43154,70.89306546,42905.64
